"","Restaurant","User-Rating","No-Ratings","Address","City","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","DistanceCityCenter","DistanceCEU","margherita_pizza_price","beverage_price","Tags"
"38","La Cipolla - Tradicionális olasz konyha",4.7,1438,"Rózsafa utca 13","Budapest","13, Rózsafa utca, Lõportárdûlõ, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1134, Magyarország",47.52610936,19.06818778,47.4983815,19.0404707,"3.723261902746 km","3.1127485131346853 km","1790",NA,"OlaszPizzaAlgidaKészpénzes fizetésSZÉP kártyás fizetés"
"39","Lénia Restaurant",3,2,"Szondi utca 42","Budapest","42, Szondi utca, Izzó lakótelep, Megyer, IV. kerület, Budapest, Közép-Magyarország, 1044, Magyarország",47.58709645,19.0924237260482,47.4983815,19.0404707,"10.610598372892694 km","10.095969303231568 km","2150","550","MagyarosHamburgerPizzaKészpénzes fizetés"
"40","Maestro Pizzeria - Pécs",4.5,178,"Klimó György utca 12","Pécs","Klimó György utca, Solidus Lakópark, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0767079,18.2207357,46.0763222,18.2280746,"0.569327737637427 km","170.51844798019187 km","1190",NA,"PizzaMagyarosHamburgerAmerikaiOlasz"
"41","Mercetti - az olasz konyha szerelmese",4.8,347,"Erkel utca 9","Budapest","9, Erkel utca, Belsõ-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1092, Magyarország",47.48676695,19.0622189527671,47.4983815,19.0404707,"2.0864374130674737 km","1.8170443113365586 km","1990","530","PizzaVegetariánusSalátaTésztaOlasz"
"42","Monkey's Bistro - Szeged",4.5,51,"Pille utca 15","Szeged","Pizza Monkey, 15, Pille utca, Tömörkény-üdülõtelep, Felsõváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6723, Magyarország",46.25943445,20.17038344768,46.2546312,20.1486016,"1.7622884327848802 km","162.2897160561285 km","2040","390","MagyarosHamburgerPizzaKészpénzes fizetés"
"43","NaPizza",4.9,345,"Megyeri út 72","Pécs","Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7632, Magyarország",46.0485744,18.2138037,46.0763222,18.2280746,"3.275949177753339 km","173.62577750006554 km","1490",NA,"OlaszPizzaKészpénzes fizetés"
"44","Napsugár Pizzéria-Étterem",4.4,221,"Szabadság utca 26","Pécs","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","171.32314727576303 km","1380",NA,"OlaszMagyarosHamburgerAmerikaiPizza"
"45","Okay Italia Szent István krt. Expressz",4.5,82,"Szent István körút 20","Budapest","Okay Italia, 20, Szent István körút, Újlipótváros, Budapest, Közép-Magyarország, 1137, Magyarország",47.5117413,19.0527354,47.4983815,19.0404707,"1.7492867391253457 km","1.2189168114580544 km","1990",NA,"PizzaTésztaOlaszNetPincér GOSZÉP kártyás fizetés"
"46","Pálma Pub",4.6,66,"Simonyi utca 44","Debrecen","Simonyi út, Nagyerdõ, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4032, Magyarország",47.5457523,21.6267052,47.531399,21.6259782,"1.5967575208467644 km","194.09549189546541 km","1590","450","OlaszMagyarosGrillPizzaGrill"
"47","Panda Fast Food",4.4,84,"Százszorszép utca 19","Pécs","19, Százszorszép utca, Uránbányász-tér, Kovácstelep, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7634, Magyarország",46.0644738,18.1896202595455,46.0763222,18.2280746,"3.2534880691717962 km","172.67438148270992 km","1290",NA,"NemzetköziMagyarosHamburgerTésztaPizza"
"48","Pasta Culture Tésztabár",4.5,44,"Október 6. utca 19","Budapest","The Selection, 19, Október 6. utca, Lipótváros, Budapest, Közép-Magyarország, 1051, Magyarország",47.5018193,19.0509007,47.4983815,19.0404707,"0.8738543032873295 km","0.11483887182143553 km","1290",NA,"PizzaTésztaOlaszNetPincér GOSZÉP kártyás fizetés"
"49","Patkó Bandi Étterem-Sörözõ",4.6,12,"Váci út 12","Budapest","12, Váci út, Újlipótváros, VI. kerület, Budapest, Közép-Magyarország, 1132, Magyarország",47.5128519,19.057197,47.4983815,19.0404707,"2.043561772152234 km","1.4289065918658617 km","1390","490","MagyarosHamburgerPizzaNetPincér GOSZÉP kártyás fizetés"
"50","Piedone Pizzéria",3.9,206,"Baross Gábor utca 27","Debrecen","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","194.9112600525048 km","1590","350","OlaszMagyarosHamburgerGrillPizza"
"51","Pizza Bagoly Pécs",4.5,31,"József Attila utca 41","Pécs","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","171.2803071824634 km","1300",NA,"OlaszHamburgerPizzaKészpénzes fizetésSZÉP kártyás fizetés"
"52","Pizza Caffe Donna",4.7,170,"Ráday utca 54","Budapest","CsokiBolt, 54, Ráday utca, Belsõ-Ferencváros, Budapest, Közép-Magyarország, 1092, Magyarország",47.4821377,19.0669747,47.4983815,19.0404707,"2.692715328202953 km","2.442565617506169 km","1791","500","PizzaMagyarosHamburgerOlaszAlgida"
"53","Pizza DiAngelo",4.6,212,"Csongrádi sugárút 8/B","Szeged","Pizza Hub, 8/B, Csongrádi sugárút, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6721, Magyarország",46.2601442,20.1505599,46.2546312,20.1486016,"0.6311325608131668 km","161.43223098544425 km","1770",NA,"PizzaKészpénzes fizetésSZÉP kártyás fizetés"
